"","Top.Module","Measure","Variables_Names"
"1","66_83_110","4004.46826265095","BankruptcyCount12Month__AssetPropertyStateCount__BusExecLinkUtilityOverlapCount3"
"2","66_110","3989.15591109967","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount3"
"3","100_109_179","3463.44456253864","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusAddrPersonNameOverlap"
"4","100_109_168","3456.53441146785","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"5","66_101_107_168","3446.55049720328","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"6","66_101_105","3382.00624855643","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount__BusExecLinkPropertyOverlapCount2"
"7","66_105_167","3377.98079520204","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2AddrOnFile"
"8","66_107_168","3377.98051999148","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"9","66_105_106","3377.97906480527","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkBusAddrAuthRep2Owned"
"10","66_107_169","3377.9786383997","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2SSNOnFile"
"11","100_101_107","3369.70814378593","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2"
"12","100_107_130","3368.93515912437","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__AssociateWatchlistCount"
"13","100_107_168","3358.12155323644","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRep2PhoneOnFile"
"14","100_105_169","3358.11919727581","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2SSNOnFile"
"15","66_105_124","3350.29590184257","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__AssociateBankrupt1YearCount"
"16","66_105_189","3319.0626278543","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SecurityStatementPresent"
"17","100_107_189","3307.19901767178","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2__SecurityStatementPresent"
"18","66_107_121","3298.9284744397","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"19","100_105_120","3286.39599114016","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__AssociateFelonyCount"
"20","66_105_188","3240.94949000413","BankruptcyCount12Month__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"21","100_105_188","3239.00269625042","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2__SSNAddressVariance"
"22","59_65_100_107","3238.09347020619","OrgLegalEntityCount__BankruptcyCount__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"23","66_107","3157.76433509451","BankruptcyCount12Month__BusExecLinkUtilityOverlapCount2"
"24","100_105","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2"
"25","100_109_114_166","3076.15388254769","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrLotSize__BusExecLinkAuthRep2NameOnFile"
"26","100_110_169","2857.33080889101","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2SSNOnFile"
"27","100_110_166","2788.16632625031","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"28","67_110_131","2727.35949028847","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3__AssociateBusinessCount"
"29","41_46_109","2443.32335662181","FS13__FS27__BusExecLinkPropertyOverlapCount3"
"30","63_100_110","2377.56959216547","SOSEverDefunct__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"31","64_100_109","2374.00337873518","SOSStateCount__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"32","67_87_110_157","2369.24913712296","BankruptcyCount24Month__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"33","67_109_145_167","2334.80260842847","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__VerificationBusInputFEIN__BusExecLinkAuthRep2AddrOnFile"
"34","67_105_131","2323.67392947224","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"35","67_107_131","2323.67361814092","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBusinessCount"
"36","100_110_157","2166.70220188547","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"37","88_110_168","2142.01187680579","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"38","10_88_109","2014.26694625653","TotalInquiries__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"39","10_100_110","2003.58537634029","TotalInquiries__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"40","107_110","1967.45717957997","BusExecLinkUtilityOverlapCount2__BusExecLinkUtilityOverlapCount3"
"41","9_88_110","1952.34078990642","RevolvingAvailablePercent__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"42","9_100_110","1948.76678070752","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"43","56_98_109","1944.2912354359","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount3"
"44","88_98_110","1938.89078724006","AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkUtilityOverlapCount3"
"45","56_105_107","1912.86612432124","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"46","101_103_107","1900.98161420493","BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"47","87_103_107","1891.27950976167","AssetAircraftCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"48","56_109_132","1870.49936148496","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__AssociateCityCount"
"49","63_103_110","1861.15156985262","SOSEverDefunct__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"50","64_103_110","1857.84996382581","SOSStateCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"51","67_107_157","1824.99982850257","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepAddrOnFile"
"52","17_88_109","1810.29908333864","PctNegTradesWas__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"53","83_88_105_180","1765.26547788714","AssetPropertyStateCount__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrType"
"54","56_83_105_132","1750.17829368033","FirmReportedEarnings__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount2__AssociateCityCount"
"55","56_98_105_167","1686.63670184094","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2AddrOnFile"
"56","56_105_180","1672.91421962749","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__InputAddrType"
"57","56_107_180","1672.91203156251","FirmReportedEarnings__BusExecLinkUtilityOverlapCount2__InputAddrType"
"58","17_56_109","1651.24868557383","PctNegTradesWas__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"59","1_105_107","1636.35800436027","DisputedAccountsExcluded__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"60","84_110_168","1630.96573107017","AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"61","88_98_105","1623.68365986055","AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2"
"62","10_103_110","1621.5429229177","TotalInquiries__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"63","56_98_105","1619.53275657867","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2"
"64","67_83_109_178","1602.99291544412","BankruptcyCount24Month__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap"
"65","56_107_132","1564.91932330194","FirmReportedEarnings__BusExecLinkUtilityOverlapCount2__AssociateCityCount"
"66","67_105_132","1527.34486445383","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateCityCount"
"67","41_46_105","1525.75877479622","FS13__FS27__BusExecLinkPropertyOverlapCount2"
"68","88_99_110","1514.27885449855","AssetWatercraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount3"
"69","14_100_110","1505.58796939642","SatisfactoryAccounts__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"70","11_100_109","1465.4929871768","InquiriesDuringLast6Months__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"71","93_105_107","1452.29553226916","InquiryHighRisk03Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"72","56_110_153_159","1383.65330459306","FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__LienType__BusExecLinkAuthRepPhoneOnFile"
"73","68_110_168","1371.22020252986","BankruptcyTimeNewest__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"74","67_109_178","1365.42622604106","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__BusFEINPersonPhoneOverlap"
"75","67_107_124_178","1355.48078119785","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount__BusFEINPersonPhoneOverlap"
"76","55_109_159_179","1325.26501742454","FirmReportedSales__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__BusAddrPersonNameOverlap"
"77","100_109_128_158","1323.72818067438","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__AssociateCountWithJudgment__BusExecLinkAuthRepSSNOnFile"
"78","9_84_110","1311.98435320459","RevolvingAvailablePercent__AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3"
"79","56_110_159","1308.97013597478","FirmReportedEarnings__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile"
"80","68_105_127_179_182","1308.91713735726","BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount2__AssociateJudgmentCount__BusAddrPersonNameOverlap__InputPhoneProblems"
"81","67_105_114_178","1297.70714452562","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__InputAddrLotSize__BusFEINPersonPhoneOverlap"
"82","55_110_159","1287.61956075826","FirmReportedSales__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepPhoneOnFile"
"83","67_99_107","1279.49171737049","BankruptcyCount24Month__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"84","87_99_107_124","1276.93256937841","AssetAircraftCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateBankrupt1YearCount"
"85","59_99_107_121","1259.33619459974","OrgLegalEntityCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__AssociateCountWithFelony"
"86","13_88_109","1248.93812093903","PaidAccounts__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"87","56_109_113_120","1239.10409550372","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount__AssociateFelonyCount"
"88","12_100_110","1238.05870942611","TotalTradeItems__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"89","56_109_113_124","1204.00911645055","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount__AssociateBankrupt1YearCount"
"90","100_110_113_120","1196.61592447403","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount__AssociateFelonyCount"
"91","12_88_109","1193.41834776222","TotalTradeItems__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"92","1_59_110_169","1182.18681516772","DisputedAccountsExcluded__OrgLegalEntityCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2SSNOnFile"
"93","1_106_109_166","1167.31912405356","DisputedAccountsExcluded__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"94","18_100_109","1165.98453836627","PctNegTradesTotal__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"95","76_105_107","1137.23528264083","JudgmentCount12Month__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"96","83_99_107","1129.6341542377","AssetPropertyStateCount__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"97","41_106_107","1127.11231421237","FS13__BusExecLinkBusAddrAuthRep2Owned__BusExecLinkUtilityOverlapCount2"
"98","67_105_178","1112.36835976312","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusFEINPersonPhoneOverlap"
"99","55_107_159","1094.6301556872","FirmReportedSales__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepPhoneOnFile"
"100","25_103_110","1081.01640278504","SocialCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"101","67_105_159","1056.2123338539","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepPhoneOnFile"
"102","19_100_110","1042.29196869263","WasDelinquentDerog__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"103","56_109_113","1027.9459326357","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__InputAddrSourceCount"
"104","88_110_113_167","1012.54786180528","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__InputAddrSourceCount__BusExecLinkAuthRep2AddrOnFile"
"105","84_110_125_143","1004.15329840981","AssetPropertyLotSizeTotal__BusExecLinkUtilityOverlapCount3__AssociateLienCount__VerificationBusInputAddr"
"106","88_105_113_188","992.787325266955","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrSourceCount__SSNAddressVariance"
"107","24_100_110","989.00248588224","DerogCounter__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"108","4_100_110","963.725574552339","RealEstateBalance__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"109","19_56_109","962.785822950228","WasDelinquentDerog__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"110","55_105_158","953.435654151966","FirmReportedSales__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRepSSNOnFile"
"111","29_88_107","947.885165468339","VantageScore3.SCORE__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2"
"112","51_56_110","922.001459358595","BusinessActivity12Month__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"113","4_88_110","914.727284330849","RealEstateBalance__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"114","27_84_105","901.064675948019","SSN.years.ago__AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount2"
"115","10_88_105","900.211926536073","TotalInquiries__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2"
"116","27_99_105","897.379621577597","SSN.years.ago__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"117","29_67_105_166","890.106902496608","VantageScore3.SCORE__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2NameOnFile"
"118","88_97_110","888.198697298945","AssetWatercraftCount__Inquiry03Month__BusExecLinkUtilityOverlapCount3"
"119","4_67_110","862.578128037596","RealEstateBalance__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"120","84_105_113","862.082423909171","AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount2__InputAddrSourceCount"
"121","10_103_105","860.015785217523","TotalInquiries__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount2"
"122","16_100_109","859.498542485482","PctNegTradesNow__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"123","33_88_109","840.794335778682","FS1__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"124","16_56_109","832.805637024812","PctNegTradesNow__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"125","67_90_110","825.416444935522","BankruptcyCount24Month__UCCTimeNewest__BusExecLinkUtilityOverlapCount3"
"126","88_105_119","812.577259978376","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateHighCrimeAddrCount"
"127","10_99_107_154","796.527965972879","TotalInquiries__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2__JudgmentType"
"128","88_91_109","791.181054690657","AssetWatercraftCount__UCCTimeOldest__BusExecLinkPropertyOverlapCount3"
"129","10_99_107","790.632497784389","TotalInquiries__InquiryConsumerPhone__BusExecLinkUtilityOverlapCount2"
"130","1_90_109","784.03709059035","DisputedAccountsExcluded__UCCTimeNewest__BusExecLinkPropertyOverlapCount3"
"131","30_88_109","782.984358930844","TIB__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"132","88_109_118","781.112363352098","AssetWatercraftCount__BusExecLinkPropertyOverlapCount3__AssociateCount"
"133","17_88_107","771.345838688179","PctNegTradesWas__AssetWatercraftCount__BusExecLinkUtilityOverlapCount2"
"134","13_48_109","768.990742668607","PaidAccounts__BusinessRecordTimeNewest__BusExecLinkPropertyOverlapCount3"
"135","8_103_109","765.989666590565","RealEstatePayment__BusExecLinkUtilityOverlapCount__BusExecLinkPropertyOverlapCount3"
"136","33_103_110","764.177666262335","FS1__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"137","15_56_109","760.322879870302","NowDelinquentDerog__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
"138","48_91_109","759.413773157221","BusinessRecordTimeNewest__UCCTimeOldest__BusExecLinkPropertyOverlapCount3"
"139","55_109_168","751.453745729635","FirmReportedSales__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"140","84_109_132_184","749.290081382266","AssetPropertyLotSizeTotal__BusExecLinkPropertyOverlapCount3__AssociateCityCount__IP224_SCORE"
"141","92_109_168","747.178537998685","InquiryHighRisk12Month__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"142","25_41_110","745.335616547591","SocialCount__FS13__BusExecLinkUtilityOverlapCount3"
"143","5_100_109","726.060696671468","RevolvingBalance__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"144","9_99_105","723.12162183819","RevolvingAvailablePercent__InquiryConsumerPhone__BusExecLinkPropertyOverlapCount2"
"145","25_48_109","713.996445245949","SocialCount__BusinessRecordTimeNewest__BusExecLinkPropertyOverlapCount3"
"146","88_101_107_118","710.279612928838","AssetWatercraftCount__BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount2__AssociateCount"
"147","23_100_110","708.073093291259","DelinquenciesOver90Days__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"148","68_109_159_182","706.725055230719","BankruptcyTimeNewest__BusExecLinkPropertyOverlapCount3__BusExecLinkAuthRepPhoneOnFile__InputPhoneProblems"
"149","88_105_131","703.69494352327","AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"150","55_105_107","695.982172865157","FirmReportedSales__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"151","50_67_110","694.932744621752","BusinessActivity06Month__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"152","26_103_110","689.285883245702","AddressCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"153","22_100_110","674.78087548906","DelinquenciesOver60Days__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"154","67_82_109","674.340310983003","BankruptcyCount24Month__AssetPropertyCount__BusExecLinkPropertyOverlapCount3"
"155","1_10_110_167","654.801114381888","DisputedAccountsExcluded__TotalInquiries__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2AddrOnFile"
"156","21_56_110","652.997903229959","DelinquenciesOver30Days__FirmReportedEarnings__BusExecLinkUtilityOverlapCount3"
"157","3_67_109","645.741017428993","InstallmentBalance__BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3"
"158","5_67_110","642.511272226732","RevolvingBalance__BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3"
"159","22_56_109","640.125711067368","DelinquenciesOver60Days__FirmReportedEarnings__BusExecLinkPropertyOverlapCount3"
